,Unnamed: 0,Datapoint,Prompt_Idx,Result,Reason,sequence_length,num_numerical_tokens,num_math_tokens,math_token_ratio,has_equals_sign,mean_attention_to_math_tokens_0,mean_attention_to_math_tokens_last,mean_attention_from_math_tokens_0,mean_attention_from_math_tokens_last,final_token_attention_received,max_attention_from_math_token,self_attention_ratio,attention_entropy_layer0_math,head0_max_attention_target_is_math
0,0,0,0,False,WRONG INTIAL ANSWER,0,0,0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
1,1,1,0,True,CORRECT ANSWER,180,9,9,0.05,False,0.001929012345679,0.0021219135802469,0.0055555555555555,0.0055555555555555,0.0012741088867187,0.99609375,0.25390625,1.4768099784851074,False
2,2,2,0,False,WRONG REVISED ANSWER,169,2,2,0.0118343195266272,False,0.0025540865384615,0.0023113905325443,0.0059171597633136,0.0059171597633136,0.0014114379882812,0.99609375,0.263671875,0.6426510810852051,False
3,3,3,0,True,CORRECT ANSWER,168,7,7,0.0416666666666666,False,0.0020461309523809,0.0017936862244897,0.0059523809523809,0.0059523809523809,0.0013885498046875,0.99609375,0.2578125,1.4240257740020752,False
4,4,4,0,False,WRONG REVISED ANSWER,153,7,7,0.0457516339869281,False,0.0025531045751633,0.0021154295051353,0.0065359477124183,0.0065359477124183,0.0015106201171875,0.99609375,0.26171875,1.6294549703598022,False
5,5,5,0,True,CORRECT ANSWER,133,3,3,0.0225563909774436,False,0.0026824874686716,0.0023398339598997,0.0075187969924812,0.0075187969924812,0.0016860961914062,0.99609375,0.2734375,0.8936364650726318,False
6,6,6,0,True,CORRECT ANSWER,149,9,9,0.0604026845637583,False,0.0022021812080536,0.0021206189410887,0.0067114093959731,0.0067114093959731,0.0015411376953125,0.99609375,0.25390625,1.670188546180725,False
7,7,7,0,True,CORRECT ANSWER,217,11,11,0.0506912442396313,False,0.0015971931294511,0.0012240783410138,0.0046082949308755,0.0046082949308755,0.0010910034179687,0.99609375,0.25390625,1.35371994972229,False
8,8,8,0,False,WRONG REVISED ANSWER,184,8,8,0.0434782608695652,False,0.0018575917119565,0.0016240658967391,0.0054347826086956,0.0054347826086956,0.0012893676757812,0.99609375,0.2578125,1.3694188594818115,False
9,9,9,0,True,CORRECT ANSWER,165,9,9,0.0545454545454545,False,0.0021148989898989,0.0020833333333333,0.006060606060606,0.006060606060606,0.001495361328125,0.99609375,0.2578125,1.6273324489593506,False
10,10,10,0,True,CORRECT ANSWER,191,7,7,0.0366492146596858,False,0.0018464846671652,0.0017062453253552,0.0052356020942408,0.0052356020942408,0.0011672973632812,0.99609375,0.26171875,1.274948000907898,False
11,11,11,0,False,WRONG REVISED ANSWER,173,4,4,0.0231213872832369,False,0.0021337608381502,0.0017273302023121,0.0057803468208092,0.0057803468208092,0.0013580322265625,0.99609375,0.267578125,1.0009220838546753,False
12,12,12,0,True,CORRECT ANSWER,166,5,5,0.0301204819277108,False,0.002183734939759,0.001816641566265,0.0060240963855421,0.0060240963855421,0.001434326171875,0.99609375,0.26171875,1.1552963256835938,False
13,13,13,0,True,CORRECT ANSWER,134,6,6,0.044776119402985,False,0.0023418065920398,0.0021668998756218,0.0074626865671641,0.0074626865671641,0.0017547607421875,0.99609375,0.265625,1.3628298044204712,False
14,14,14,0,False,WRONG REVISED ANSWER,183,8,8,0.0437158469945355,False,0.0017823599726775,0.001707650273224,0.0054644808743169,0.0054644808743169,0.0012969970703125,0.99609375,0.26171875,1.2910809516906738,False
15,15,15,0,False,WRONG REVISED ANSWER,196,16,17,0.086734693877551,False,0.0018663715486194,0.001781962785114,0.0051020408163265,0.0051020408163265,0.0011672973632812,0.99609375,0.25,1.8539870977401731,False
16,16,16,0,True,CORRECT ANSWER,155,8,8,0.0516129032258064,False,0.0020539314516129,0.0021169354838709,0.0064516129032258,0.0064516129032258,0.00146484375,0.99609375,0.255859375,1.5346513986587524,False
17,17,17,0,True,CORRECT ANSWER,135,7,7,0.0518518518518518,False,0.0023809523809523,0.0023644179894179,0.0074074074074074,0.0074074074074074,0.001678466796875,0.99609375,0.26171875,1.552462458610535,False
18,18,18,0,True,CORRECT ANSWER,176,6,6,0.034090909090909,False,0.0018791429924242,0.0017459753787878,0.0056818181818181,0.0056818181818181,0.0013351440429687,0.99609375,0.255859375,1.0844658613204956,False
19,19,19,0,False,WRONG INTIAL ANSWER,0,0,0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,False
20,20,20,0,True,CORRECT ANSWER,144,6,6,0.0416666666666666,False,0.0024594907407407,0.002369068287037,0.0069444444444444,0.0069444444444444,0.0015869140625,0.99609375,0.26171875,1.4409196376800537,False
21,21,21,0,False,WRONG REVISED ANSWER,157,4,4,0.0254777070063694,False,0.0023512141719745,0.0023263335987261,0.0063694267515923,0.0063694267515923,0.00140380859375,0.99609375,0.265625,1.077912211418152,False
22,22,22,0,False,WRONG REVISED ANSWER,165,5,5,0.0303030303030303,False,0.0023295454545454,0.0022443181818181,0.006060606060606,0.006060606060606,0.0014572143554687,0.99609375,0.26171875,1.1879349946975708,False
